City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Cochrane,CA,51.18,-114.47,12.2,65,90,4.7,overcast clouds
269,Comodoro Rivadavia,AR,-45.87,-67.5,60.8,77,75,2.24,broken clouds
270,Roma,US,43.21,-75.46,44.6,70,90,11.41,overcast clouds
271,Kozluk,TR,38.19,41.49,48.2,28,0,2.24,clear sky
272,Krasnoselkup,RU,65.7,82.47,7.03,95,93,9.33,overcast clouds
273,Lusambo,CD,-4.97,23.45,70.07,95,95,1.28,overcast clouds
274,San Patricio,US,28.02,-97.52,71.6,53,20,2.95,few clouds
275,Mareeba,AU,-17.0,145.43,89.01,55,40,9.17,scattered clouds
276,Praia Da Vitoria,PT,38.73,-27.07,64.0,88,20,17.09,few clouds
277,Port Blair,IN,11.67,92.75,81.57,76,51,0.85,broken clouds
278,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,42.8,81,90,26.84,light intensity shower rain
279,Aquiraz,BR,-3.9,-38.39,80.6,83,75,12.75,broken clouds
280,Vostok,RU,46.49,135.88,31.23,99,100,4.99,overcast clouds
281,Padang,ID,-0.95,100.35,80.83,72,94,1.36,overcast clouds
282,Mehamn,NO,71.04,27.85,36.55,82,100,11.68,overcast clouds
283,Gizo,SB,-8.1,156.84,84.51,73,55,8.5,moderate rain
284,Carballo,ES,43.21,-8.69,60.8,82,0,13.87,light rain
285,Am Timan,TD,11.03,20.28,77.72,29,96,1.95,overcast clouds
286,Ovsyanka,RU,55.96,92.55,26.6,79,40,8.95,scattered clouds
287,Dolores,AR,-36.31,-57.68,57.69,98,18,8.14,few clouds
288,Vikulovo,RU,56.82,70.61,30.29,98,100,15.64,overcast clouds
289,Port-Gentil,GA,-0.72,8.78,78.31,85,100,13.67,overcast clouds
290,Nizhniy Tsasuchey,RU,50.52,115.13,36.1,79,84,3.8,broken clouds
291,Vila,PT,42.03,-8.16,55.99,94,100,23.0,moderate rain
292,Portland,US,45.52,-122.68,48.2,57,75,19.46,broken clouds
293,Nicoya,CR,10.15,-85.45,78.8,94,75,3.36,broken clouds
294,Paita,PE,-5.09,-81.11,62.76,84,26,11.41,scattered clouds
295,Freeport,US,40.66,-73.58,60.8,59,1,8.05,clear sky
296,Banda Aceh,ID,5.56,95.32,76.77,84,100,7.65,light rain
297,Aykhal,RU,66.0,111.5,8.6,92,0,6.71,clear sky
298,Huarmey,PE,-10.07,-78.15,62.87,84,72,7.85,broken clouds
299,Tiznit,MA,29.58,-9.5,63.72,55,100,0.45,overcast clouds
300,Aasiaat,GL,68.71,-52.87,15.98,96,86,11.32,overcast clouds
301,Lozovik,RS,44.47,21.1,55.0,92,100,1.41,light rain
302,Bjornevatn,NO,69.67,29.98,37.4,86,97,24.16,overcast clouds
303,Coihueco,CL,-36.62,-71.83,50.0,100,90,3.36,moderate rain
304,Caravelas,BR,-17.71,-39.25,76.05,85,100,7.92,overcast clouds
305,Pemba,MZ,-12.97,40.52,75.2,88,20,3.36,few clouds
306,Marsaxlokk,MT,35.84,14.54,68.0,77,0,13.87,clear sky
307,Youghal,IE,51.95,-7.85,48.0,87,40,19.46,scattered clouds
308,Coquimbo,CL,-29.95,-71.34,55.4,82,7,8.05,clear sky
309,Port Augusta,AU,-32.5,137.77,55.4,66,75,13.87,broken clouds
310,Saint-Philippe,RE,-21.36,55.77,71.6,48,0,4.7,clear sky
311,Sioux Lookout,CA,50.1,-91.92,24.8,85,90,6.93,overcast clouds
312,San-Pedro,CI,4.75,-6.64,76.5,89,0,4.41,clear sky
313,Jalu,LY,29.03,21.55,62.78,78,0,7.58,clear sky
314,Neyshabur,IR,36.21,58.8,44.71,58,0,0.56,clear sky
315,Southbridge,US,42.08,-72.03,54.0,67,30,8.37,scattered clouds
316,Bonthe,SL,7.53,-12.51,77.43,84,99,4.03,light rain
317,Saint George,US,37.1,-113.58,75.2,31,71,2.89,broken clouds
318,Millet,CA,53.1,-113.47,21.2,57,75,5.82,shower rain
319,Sernur,RU,56.93,49.15,35.8,94,100,6.13,overcast clouds
320,Hurricane,US,37.18,-113.29,75.2,31,33,2.33,scattered clouds
321,Gondanglegi,ID,-7.75,112.01,84.83,67,63,7.63,broken clouds
322,Uberlingen,DE,47.77,9.17,46.0,100,100,1.99,overcast clouds
323,Waddan,LY,29.16,16.14,62.46,51,0,5.14,clear sky
324,Maralal,KE,1.1,36.7,59.86,92,3,4.0,clear sky
325,Beringovskiy,RU,63.05,179.32,31.59,95,98,14.29,overcast clouds
326,Ponta Delgada,PT,37.73,-25.67,66.2,93,40,10.29,scattered clouds
327,Harnai,PK,30.1,67.94,58.93,28,0,5.46,clear sky
328,Cabedelo,BR,-6.98,-34.83,77.0,88,75,4.7,broken clouds
329,Saint-Augustin,CA,51.23,-58.65,46.76,93,100,21.77,light rain
330,Hammerfest,NO,70.66,23.68,37.4,86,97,18.34,overcast clouds
